T,error,integral,derivada,pwm
50.0,0.0,119.7,0.08,713.0
49.94,0.06,119.75,0.08,738.0
49.94,0.06,119.8,0.0,727.0
50.0,0.0,119.8,-0.08,690.0
50.0,0.0,119.8,0.0,702.0
50.0,0.0,119.8,0.0,702.0
50.0,0.0,119.8,0.0,702.0
49.94,0.06,119.85,0.08,739.0
49.94,0.06,119.9,0.0,727.0
49.81,0.19,120.05,0.16,801.0
49.81,0.19,120.2,0.0,778.0
49.81,0.19,120.35,0.0,779.0
49.81,0.19,120.5,0.0,780.0
49.88,0.12,120.6,-0.08,743.0
49.94,0.06,120.65,-0.08,718.0
50.0,0.0,120.65,-0.08,693.0
50.06,-0.06,120.6,-0.08,668.0
50.19,-0.19,120.45,-0.16,606.0
50.25,-0.25,120.25,-0.08,592.0
50.25,-0.25,120.05,0.0,603.0
50.25,-0.25,119.85,0.0,602.0
50.25,-0.25,119.65,0.0,601.0
50.12,-0.12,119.55,0.16,674.0
50.0,0.0,119.55,0.16,724.0
49.94,0.06,119.6,0.08,738.0
49.88,0.12,119.7,0.08,763.0
49.88,0.12,119.8,0.0,752.0
49.88,0.12,119.9,0.0,752.0
49.94,0.06,119.95,-0.08,716.0
50.0,0.0,120.0,-0.08,691.0
50.12,-0.12,119.9,-0.16,629.0
50.19,-0.19,119.6,0.0,626.0
50.19,-0.19,119.45,0.0,625.0
50.19,-0.19,119.3,0.0,625.0
50.19,-0.19,119.15,0.0,624.0
50.19,-0.19,119.0,0.0,624.0
50.19,-0.19,118.85,0.0,623.0
50.19,-0.19,118.7,0.0,622.0
50.25,-0.25,118.5,-0.08,585.0
50.31,-0.31,118.25,-0.08,559.0
50.38,-0.38,117.95,-0.08,533.0
50.44,-0.44,117.6,-0.08,506.0
50.5,-0.5,117.2,-0.08,480.0
50.56,-0.56,116.75,-0.08,453.0
50.62,-0.62,116.25,-0.08,426.0
50.62,-0.62,115.75,0.0,436.0
50.5,-0.5,115.35,0.16,507.0
50.44,-0.44,115.0,0.08,519.0
50.31,-0.31,114.75,0.16,580.0
50.31,-0.31,114.5,0.0,556.0
50.31,-0.31,114.25,0.0,555.0
50.31,-0.31,114.0,0.0,554.0
50.38,-0.38,113.7,-0.08,516.0
50.44,-0.44,113.35,-0.08,489.0
50.5,-0.5,112.95,-0.08,463.0
50.56,-0.56,112.5,-0.08,436.0
50.5,-0.5,111.65,0.08,481.0
50.44,-0.44,111.3,0.08,504.0
50.38,-0.38,111.0,0.08,528.0
50.38,-0.38,110.7,0.0,515.0
50.38,-0.38,110.4,0.0,514.0
50.31,-0.31,109.9,0.0,537.0
50.31,-0.31,109.65,0.0,536.0
50.31,-0.31,109.4,0.0,535.0
50.38,-0.38,109.1,-0.08,497.0
50.44,-0.44,108.75,-0.08,471.0
50.5,-0.5,108.35,-0.08,444.0
50.56,-0.56,107.9,-0.08,417.0
50.56,-0.56,107.45,0.0,427.0
50.56,-0.56,107.0,0.0,426.0
50.5,-0.5,106.6,0.08,461.0
50.44,-0.44,106.25,0.08,484.0
50.38,-0.38,105.95,0.08,508.0
50.31,-0.31,105.7,0.08,532.0
50.25,-0.25,105.5,0.08,556.0
50.19,-0.19,105.35,0.08,581.0
50.19,-0.19,105.2,0.0,568.0
50.12,-0.12,105.1,0.08,605.0
50.12,-0.12,105.0,0.0,593.0
50.19,-0.19,104.85,-0.08,555.0
50.19,-0.19,104.7,0.0,566.0
50.19,-0.19,104.55,0.0,566.0
50.19,-0.19,104.4,0.0,565.0
50.12,-0.12,104.3,0.08,601.0
50.0,0.0,104.3,0.16,663.0
49.88,0.12,104.4,0.16,714.0
49.81,0.19,104.55,0.08,727.0
49.69,0.31,104.8,0.16,790.0
49.69,0.31,105.05,0.0,768.0
49.69,0.31,105.3,0.0,769.0
49.69,0.31,105.55,0.0,770.0
49.75,0.25,105.75,-0.08,734.0
49.81,0.19,105.9,-0.08,709.0
49.81,0.19,106.05,0.0,722.0
49.88,0.12,106.15,-0.08,685.0
49.94,0.06,106.2,-0.08,661.0
50.0,0.0,106.2,-0.08,636.0
50.06,-0.06,106.15,-0.08,610.0
50.06,-0.06,106.1,0.0,622.0
50.06,-0.06,106.05,0.0,622.0
50.12,-0.12,105.95,-0.08,585.0
50.19,-0.19,105.8,-0.08,559.0
50.19,-0.19,105.65,0.0,570.0
50.31,-0.31,105.4,-0.16,496.0
50.38,-0.38,105.1,-0.08,481.0
50.44,-0.44,104.75,-0.08,455.0
50.5,-0.5,104.35,-0.08,428.0
50.56,-0.56,103.9,-0.08,401.0
50.56,-0.56,103.45,0.0,411.0
50.56,-0.56,103.0,0.0,410.0
50.62,-0.62,102.5,-0.08,371.0
50.56,-0.56,102.05,0.08,417.0
50.5,-0.5,101.65,0.08,441.0
50.5,-0.5,101.25,0.0,428.0
50.44,-0.44,100.9,0.08,463.0
50.44,-0.44,100.55,0.0,450.0
50.44,-0.44,100.2,0.0,448.0
50.5,-0.5,99.8,-0.08,410.0
50.5,-0.5,99.4,0.0,420.0
50.56,-0.56,98.95,-0.08,382.0
50.56,-0.56,98.5,0.0,392.0
50.56,-0.56,98.05,0.0,390.0
50.5,-0.5,97.65,0.08,425.0
50.44,-0.44,97.3,0.08,448.0
50.25,-0.25,97.1,0.23,546.0
50.12,-0.12,97.0,0.16,584.0
50.0,0.0,97.0,0.16,634.0
49.88,0.12,97.1,0.16,684.0
49.81,0.19,97.4,0.0,687.0
49.75,0.25,97.6,0.08,725.0
49.75,0.25,97.8,0.0,714.0
49.75,0.25,98.0,0.0,715.0
49.69,0.31,98.25,0.08,752.0
49.69,0.31,98.5,0.0,742.0
49.62,0.38,98.8,0.08,779.0
49.56,0.44,99.15,0.08,806.0
49.5,0.5,99.55,0.08,832.0
49.5,0.5,99.95,0.0,822.0
49.56,0.44,100.3,-0.08,787.0
49.62,0.38,100.6,-0.08,763.0
49.62,0.38,100.9,0.0,776.0
49.69,0.31,101.15,-0.08,740.0
49.75,0.25,101.35,-0.08,716.0
49.81,0.19,101.5,-0.08,692.0
49.88,0.12,101.6,-0.08,667.0
49.94,0.06,101.65,-0.08,642.0
50.0,0.0,101.65,-0.08,617.0
50.0,0.0,101.65,0.0,629.0
50.0,0.0,101.65,0.0,629.0
50.0,0.0,101.65,0.0,629.0
50.0,0.0,101.65,0.0,629.0
50.06,-0.06,101.6,-0.08,592.0
50.06,-0.06,101.55,0.0,604.0
50.12,-0.12,101.45,-0.08,567.0
50.19,-0.19,101.3,-0.08,541.0
50.25,-0.25,101.1,-0.08,515.0
50.31,-0.31,100.85,-0.08,489.0
50.44,-0.44,100.5,-0.16,426.0
50.5,-0.5,100.1,-0.08,411.0
50.5,-0.5,99.7,0.0,421.0
50.56,-0.56,99.25,-0.08,383.0
50.56,-0.56,98.8,0.0,393.0
50.56,-0.56,98.35,0.0,391.0
50.5,-0.5,97.95,0.08,426.0
50.44,-0.44,97.6,0.08,450.0
50.38,-0.38,97.3,0.08,473.0
50.38,-0.38,97.0,0.0,461.0
50.44,-0.44,96.65,-0.08,422.0
50.44,-0.44,96.3,0.0,433.0
50.5,-0.5,95.9,-0.08,394.0
50.5,-0.5,95.5,0.0,405.0
50.56,-0.56,95.05,-0.08,366.0
50.56,-0.56,94.6,0.0,376.0
50.5,-0.5,94.2,0.08,411.0
50.44,-0.44,93.85,0.08,435.0
50.38,-0.38,93.55,0.08,458.0
50.25,-0.25,93.35,0.16,519.0
50.12,-0.12,93.25,0.16,569.0
50.06,-0.06,93.2,0.08,582.0
49.94,0.06,93.25,0.16,644.0
49.88,0.12,93.35,0.08,658.0
49.88,0.12,93.45,0.0,646.0
49.88,0.12,93.55,0.0,647.0
49.88,0.12,93.65,0.0,647.0
49.94,0.06,93.7,-0.08,611.0
50.0,0.0,93.7,-0.08,586.0
49.94,0.06,93.75,0.08,634.0
49.94,0.06,93.8,0.0,623.0
49.88,0.12,93.9,0.08,660.0
49.81,0.19,94.05,0.08,685.0
49.69,0.31,94.3,0.16,748.0
49.62,0.38,94.6,0.08,763.0
49.69,0.31,94.85,-0.08,715.0
49.69,0.31,95.1,0.0,728.0
49.75,0.25,95.3,-0.08,692.0
49.81,0.19,95.45,-0.08,668.0
49.88,0.12,95.55,-0.08,643.0
50.0,0.0,95.55,-0.16,581.0
50.06,-0.06,95.5,-0.08,568.0
50.12,-0.12,95.4,-0.08,542.0
50.19,-0.19,95.25,-0.08,517.0
50.19,-0.19,95.1,0.0,528.0
50.19,-0.19,94.95,0.0,527.0
50.12,-0.12,94.85,0.08,564.0
50.06,-0.06,94.8,0.08,588.0
50.06,-0.06,94.75,0.0,577.0
50.06,-0.06,94.7,0.0,576.0
50.06,-0.06,94.65,0.0,576.0
50.06,-0.06,94.6,0.0,576.0
50.06,-0.06,94.55,0.0,576.0
50.06,-0.06,94.5,0.0,576.0
50.12,-0.12,94.4,-0.08,538.0
50.19,-0.19,94.25,-0.08,513.0
50.19,-0.19,94.1,0.0,524.0
50.19,-0.19,93.95,0.0,523.0
50.19,-0.19,93.8,0.0,523.0
50.19,-0.19,93.65,0.0,522.0
50.19,-0.19,93.5,0.0,522.0
50.19,-0.19,93.35,0.0,521.0
50.12,-0.12,93.25,0.08,557.0
50.12,-0.12,93.15,0.0,545.0
50.06,-0.06,93.1,0.08,582.0
50.06,-0.06,93.05,0.0,570.0
50.06,-0.06,93.0,-0.08,558.0
50.12,-0.12,92.9,-0.08,532.0
50.06,-0.06,92.85,0.08,581.0
50.06,-0.06,92.8,0.0,569.0
50.06,-0.06,92.75,0.0,569.0
50.0,0.0,92.75,0.08,605.0
49.94,0.06,92.8,0.08,630.0
49.94,0.06,92.85,0.0,619.0
50.0,0.0,92.85,-0.08,582.0
50.0,0.0,92.85,0.0,594.0
50.0,0.0,92.85,0.0,594.0
50.0,0.0,92.85,0.0,594.0
50.06,-0.06,92.8,-0.08,557.0
50.06,-0.06,92.75,0.0,569.0
50.06,-0.06,92.7,0.0,568.0
50.06,-0.06,92.65,0.0,568.0
50.0,0.0,92.65,0.08,605.0
50.0,0.0,92.65,0.0,593.0
50.0,0.0,92.65,0.0,593.0
